"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.Age","Answer.Gender","Answer.T1Button","Answer.T2Button","Answer.T3Button","Answer.T4Button","Answer.T5Button","Approve","Reject"
"3OJX0UFJ0Y6AY5PABVQN62VFHCXU9W","3SJ5GB440G61ZXL07JG7Z9G32E2Q4V","Answer a survey about the person shown in the photograph","There is a person shown in the photograph. What can you say about his/her personality?","survey, demographics","$0.10","Mon May 18 09:05:00 PDT 2015","15","BatchId:1947261;","3600","259200","Mon May 25 09:05:00 PDT 2015","","","39DD6S19JPAB2K8VFVAI3S7PRLCEZE","A2UIGDOLX5RV95","Approved","Mon May 18 09:06:14 PDT 2015","Mon May 18 09:06:44 PDT 2015","Thu May 21 09:06:44 PDT 2015","Mon May 18 09:53:19 PDT 2015","","","30","100% (2/2)","100% (2/2)","100% (2/2)","32","Male","4","4","2","3","4"
"3OJX0UFJ0Y6AY5PABVQN62VFHCXU9W","3SJ5GB440G61ZXL07JG7Z9G32E2Q4V","Answer a survey about the person shown in the photograph","There is a person shown in the photograph. What can you say about his/her personality?","survey, demographics","$0.10","Mon May 18 09:05:00 PDT 2015","15","BatchId:1947261;","3600","259200","Mon May 25 09:05:00 PDT 2015","","","3LKC68YZ3A2TKGGFYMT7907LELDOW1","A2D4E1C1UD7ZK6","Approved","Mon May 18 09:07:41 PDT 2015","Mon May 18 09:08:12 PDT 2015","Thu May 21 09:08:12 PDT 2015","Mon May 18 09:53:20 PDT 2015","","","31","100% (4/4)","100% (4/4)","100% (4/4)","42","Male","1","1","4","3","3"
"3OJX0UFJ0Y6AY5PABVQN62VFHCXU9W","3SJ5GB440G61ZXL07JG7Z9G32E2Q4V","Answer a survey about the person shown in the photograph","There is a person shown in the photograph. What can you say about his/her personality?","survey, demographics","$0.10","Mon May 18 09:05:00 PDT 2015","15","BatchId:1947261;","3600","259200","Mon May 25 09:05:00 PDT 2015","","","3QEMNNSB2XYNQ4OP057F6QW5HGY7DM","A3HNEYFOIJWPH1","Approved","Mon May 18 09:05:57 PDT 2015","Mon May 18 09:06:29 PDT 2015","Thu May 21 09:06:29 PDT 2015","Mon May 18 09:53:20 PDT 2015","","","32","100% (1/1)","100% (1/1)","100% (1/1)","40","Male","2","3","4","2","3"
"3OJX0UFJ0Y6AY5PABVQN62VFHCXU9W","3SJ5GB440G61ZXL07JG7Z9G32E2Q4V","Answer a survey about the person shown in the photograph","There is a person shown in the photograph. What can you say about his/her personality?","survey, demographics","$0.10","Mon May 18 09:05:00 PDT 2015","15","BatchId:1947261;","3600","259200","Mon May 25 09:05:00 PDT 2015","","","3CTOC39K37P0TQOHA1TQ9ORIM0V7J0","AMM44H2YGFFYB","Approved","Mon May 18 09:07:16 PDT 2015","Mon May 18 09:07:49 PDT 2015","Thu May 21 09:07:49 PDT 2015","Mon May 18 09:53:19 PDT 2015","","","33","100% (1/1)","100% (1/1)","100% (1/1)","32","Male","1","2","4","3","4"
"3OJX0UFJ0Y6AY5PABVQN62VFHCXU9W","3SJ5GB440G61ZXL07JG7Z9G32E2Q4V","Answer a survey about the person shown in the photograph","There is a person shown in the photograph. What can you say about his/her personality?","survey, demographics","$0.10","Mon May 18 09:05:00 PDT 2015","15","BatchId:1947261;","3600","259200","Mon May 25 09:05:00 PDT 2015","","","3PJ71Z61R41XCSW6Z9L4JKM2N9J91A","A4ELFVN8WOSSR","Approved","Mon May 18 09:12:58 PDT 2015","Mon May 18 09:13:32 PDT 2015","Thu May 21 09:13:32 PDT 2015","Mon May 18 09:53:20 PDT 2015","","","34","100% (1/1)","100% (1/1)","100% (1/1)","46","Male","3","3","3","3","3"
"3OJX0UFJ0Y6AY5PABVQN62VFHCXU9W","3SJ5GB440G61ZXL07JG7Z9G32E2Q4V","Answer a survey about the person shown in the photograph","There is a person shown in the photograph. What can you say about his/her personality?","survey, demographics","$0.10","Mon May 18 09:05:00 PDT 2015","15","BatchId:1947261;","3600","259200","Mon May 25 09:05:00 PDT 2015","","","3H8DHMCCW9ABLJV9JZWOAV1RN0YDKY","ARG392N6HWZCJ","Approved","Mon May 18 09:09:03 PDT 2015","Mon May 18 09:09:42 PDT 2015","Thu May 21 09:09:42 PDT 2015","Mon May 18 09:53:19 PDT 2015","","","39","100% (1/1)","100% (1/1)","100% (1/1)","32","Male","2","2","4","4","3"
"3OJX0UFJ0Y6AY5PABVQN62VFHCXU9W","3SJ5GB440G61ZXL07JG7Z9G32E2Q4V","Answer a survey about the person shown in the photograph","There is a person shown in the photograph. What can you say about his/her personality?","survey, demographics","$0.10","Mon May 18 09:05:00 PDT 2015","15","BatchId:1947261;","3600","259200","Mon May 25 09:05:00 PDT 2015","","","3UXUOQ9OKEWPSXLDGVGDGPOZWD2A7O","A3GWOC2Q53BW2N","Approved","Mon May 18 09:17:32 PDT 2015","Mon May 18 09:18:20 PDT 2015","Thu May 21 09:18:20 PDT 2015","Mon May 18 09:53:21 PDT 2015","","","48","100% (1/1)","100% (1/1)","100% (1/1)","42","Male","4","3","5","5","2"
"3OJX0UFJ0Y6AY5PABVQN62VFHCXU9W","3SJ5GB440G61ZXL07JG7Z9G32E2Q4V","Answer a survey about the person shown in the photograph","There is a person shown in the photograph. What can you say about his/her personality?","survey, demographics","$0.10","Mon May 18 09:05:00 PDT 2015","15","BatchId:1947261;","3600","259200","Mon May 25 09:05:00 PDT 2015","","","3RWE2M8QWH9IU5FI4009NGYCN6T0NW","A2CNXQG6YYHTDF","Approved","Mon May 18 09:06:21 PDT 2015","Mon May 18 09:07:17 PDT 2015","Thu May 21 09:07:17 PDT 2015","Mon May 18 09:53:20 PDT 2015","","","56","100% (1/1)","100% (1/1)","100% (1/1)","35","Male","4","1","3","5","4"
"3OJX0UFJ0Y6AY5PABVQN62VFHCXU9W","3SJ5GB440G61ZXL07JG7Z9G32E2Q4V","Answer a survey about the person shown in the photograph","There is a person shown in the photograph. What can you say about his/her personality?","survey, demographics","$0.10","Mon May 18 09:05:00 PDT 2015","15","BatchId:1947261;","3600","259200","Mon May 25 09:05:00 PDT 2015","","","3LQ8PUHQFLR1R4AN5SU2O01CNO2HI0","A3HNWWJXMDLM8L","Approved","Mon May 18 09:06:42 PDT 2015","Mon May 18 09:07:39 PDT 2015","Thu May 21 09:07:39 PDT 2015","Mon May 18 09:53:20 PDT 2015","","","57","100% (2/2)","100% (1/1)","100% (1/1)","42","Male","2","4","3","2","2"
"3OJX0UFJ0Y6AY5PABVQN62VFHCXU9W","3SJ5GB440G61ZXL07JG7Z9G32E2Q4V","Answer a survey about the person shown in the photograph","There is a person shown in the photograph. What can you say about his/her personality?","survey, demographics","$0.10","Mon May 18 09:05:00 PDT 2015","15","BatchId:1947261;","3600","259200","Mon May 25 09:05:00 PDT 2015","","","3LYA37P8IQMI6MXP535IF5DRKFPKB1","A2PXJTMWGUE5DC","Approved","Mon May 18 10:08:51 PDT 2015","Mon May 18 10:09:59 PDT 2015","Thu May 21 10:09:59 PDT 2015","Mon May 18 10:14:58 PDT 2015","","","68","100% (3/3)","100% (3/3)","100% (3/3)","49","Male","2","1","5","4","2"
